CustomerID,total_transactions,total_products,total_unique_products,total_sales,avg_product_value,avg_cart_value,min_cart_value,max_cart_value
12346,2,2,1,0.0,0.0,0.0,-77183.6,77183.6
12347,7,182,103,4310.0,23.681318681318682,615.7142857142857,224.82,1294.32
12348,4,31,22,1797.24,57.97548387096774,449.31,227.44,892.8
12349,1,73,73,1757.55,24.076027397260273,1757.55,1757.55,1757.55
12350,1,17,17,334.4,19.670588235294115,334.4,334.4,334.4
12352,11,95,59,1545.41,16.267473684210525,140.4918181818182,-463.8,840.3
12353,1,4,4,89.0,22.25,89.0,89.0,89.0
12354,1,58,58,1079.4,18.610344827586207,1079.4,1079.4,1079.4
12355,1,13,13,459.4,35.33846153846154,459.4,459.4,459.4
12356,3,59,53,2811.43,47.65135593220339,937.1433333333333,58.349999999999994,2271.62
12357,1,131,131,6207.67,47.38679389312977,6207.67,6207.67,6207.67
12358,2,19,13,1168.06,61.47684210526315,584.03,484.86,683.2
12359,6,254,214,6245.53,24.588700787401574,1040.9216666666666,-91.25,2876.85
12360,3,129,105,2662.06,20.63612403100775,887.3533333333334,534.7,1083.58
12361,1,10,10,189.9,18.990000000000002,189.9,189.9,189.9
12362,13,274,201,5154.58,18.812335766423356,396.50615384615384,-48.85,829.99
12363,2,23,23,552.0,24.0,276.0,252.9,299.1
12364,4,85,70,1313.1,15.448235294117646,328.275,79.8,623.92
12365,3,23,22,320.69,13.94304347826087,106.89666666666666,-320.69,320.69
12367,1,11,11,168.9,15.354545454545455,168.9,168.9,168.9
12370,4,167,143,3545.69,21.231676646706585,886.4224999999999,277.2,1590.82
12371,2,63,63,1887.96,29.96761904761905,943.98,360.0,1527.96
12372,3,52,34,1298.04,24.962307692307693,432.68,383.12,515.7
12373,1,14,14,364.6,26.042857142857144,364.6,364.6,364.6
12374,1,33,33,742.9300000000001,22.513030303030305,742.9300000000001,742.9300000000001,742.9300000000001
12375,3,18,14,455.42,25.301111111111112,151.80666666666667,-2.08,230.3
12377,2,77,72,1628.12,21.144415584415583,814.06,626.6,1001.52
12378,1,219,219,4008.62,18.30420091324201,4008.62,4008.62,4008.62
12379,3,41,39,850.29,20.738780487804878,283.43,-1.95,459.84
12380,5,105,77,2720.56,25.910095238095238,544.1120000000001,-4.25,1040.39
12381,6,91,70,1803.96,19.823736263736265,300.66,-41.35,1268.74
12383,6,100,84,1839.31,18.3931,306.5516666666667,-11.25,651.16
12384,3,30,26,566.16,18.872,188.72,-19.11,292.69
12386,2,10,10,401.9,40.19,200.95,143.0,258.9
12388,6,100,57,2780.66,27.8066,463.4433333333333,124.05000000000001,902.09
12390,1,32,32,549.84,17.1825,549.84,549.84,549.84
12391,1,100,92,460.89,4.6089,460.89,460.89,460.89
12393,4,64,47,1582.6000000000001,24.728125000000002,395.65,177.00000000000003,521.5
12394,2,27,26,1272.48,47.12888888888889,636.24,381.08,891.4
12395,15,159,91,2998.28,18.857106918238994,199.88533333333334,-14.850000000000001,346.68
12397,2,126,110,2409.9,19.126190476190477,1204.9499999999998,1195.09,1214.81
12398,1,85,85,1635.6599999999999,19.24305882352941,1635.6599999999999,1635.6599999999999,1635.6599999999999
12399,4,59,47,1108.65,18.790677966101697,277.1625,130.08,480.90000000000003
12401,1,5,5,84.3,16.86,84.3,84.3,84.3
12402,1,11,11,225.6,20.509090909090908,225.6,225.6,225.6
12403,2,6,5,409.7,68.28333333333333,204.85,-18.0,427.7
12405,1,54,54,1710.39,31.67388888888889,1710.39,1710.39,1710.39
12406,3,108,92,3280.75,30.377314814814813,1093.5833333333333,-134.55,1794.05
12407,5,77,57,1708.1200000000001,22.183376623376624,341.62399999999997,192.34,719.06
12408,9,113,81,2842.57,25.155486725663717,315.8411111111111,-15.0,762.89
12409,7,114,91,11056.93,96.99061403508772,1579.5614285714287,-4.95,6207.08
12410,3,28,26,681.0799999999999,24.32428571428571,227.02666666666664,-12.25,625.3299999999999
12412,3,61,43,1226.88,20.112786885245903,408.96000000000004,336.14,514.5
12413,5,40,29,694.15,17.353749999999998,138.82999999999998,-54.0,479.25
12414,3,18,16,562.41,31.244999999999997,187.47,153.76,242.8
12415,26,778,444,123725.45,159.0301413881748,4758.671153846154,-425.0,22775.93
12417,12,198,158,3578.8,18.074747474747475,298.23333333333335,-31.949999999999996,562.69
12418,1,34,34,668.58,19.664117647058823,668.58,668.58,668.58
12420,1,29,29,600.39,20.70310344827586,600.39,600.39,600.39
12421,5,46,33,806.27,17.527608695652173,161.254,-0.77,239.35
12422,3,39,39,803.5600000000001,20.604102564102565,267.8533333333333,147.7,417.36
12423,9,126,97,1849.11,14.67547619047619,205.45666666666668,-10.2,347.35
12424,2,30,30,1760.96,58.69866666666667,880.4800000000001,294.64000000000004,1466.3200000000002
12425,1,36,36,777.2,21.58888888888889,777.2,777.2,777.2
12426,1,30,30,582.73,19.424333333333333,582.73,582.73,582.73
12427,5,35,26,708.37,20.239142857142856,141.674,-60.48,303.5
12428,12,300,258,7877.2,26.25733333333333,656.4333333333333,-62.11,2474.62
12429,4,97,82,3750.4,38.66391752577319,937.6,437.98,1281.5
12430,1,11,11,256.4,23.30909090909091,256.4,256.4,256.4
12431,18,240,163,6416.39,26.734958333333335,356.4661111111111,-38.160000000000004,640.1
12432,5,108,107,5059.32,46.845555555555556,1011.8639999999999,64.6,2862.06
12433,7,420,219,13375.87,31.847309523809525,1910.8385714285716,19.799999999999997,2843.29
12434,4,54,49,765.19,14.170185185185186,191.29749999999999,-27.75,519.89
12435,2,36,31,7829.89,217.49694444444447,3914.945,3850.9,3978.9900000000002
12436,1,16,16,509.01,31.813125,509.01,509.01,509.01
12437,19,201,119,4896.66,24.36149253731343,257.718947368421,-54.75,736.55
12438,2,98,84,2906.85,29.66173469387755,1453.425,890.0699999999999,2016.78
12441,1,11,11,173.55,15.77727272727273,173.55,173.55,173.55
12442,1,12,12,172.06,14.338333333333333,172.06,172.06,172.06
12444,5,177,138,5005.46,28.27943502824859,1001.092,562.54,1870.2
12445,1,4,4,133.4,33.35,133.4,133.4,133.4
